mode,id,year,subject,difficulty,stem,option_a,option_b,option_c,option_d,correct,feedback_correct,feedback_wrong
ENEM,ENEM2022-Q089,2022,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q082,2024,Português,médio,Classifique o sujeito em: ‘Os alunos e o professor saíram.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,B,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q035,2022,Matemática,médio,Resolva: 3x + 2 = 38. Valor de x:,12,13,11,14,A,Show! 👏,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q076,2023,Filosofia,médio,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Muito bem! ✅,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q048,2022,Filosofia,médio,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Mandou bem! 🚀,Respira e vai de novo. 😌
ENEM,ENEM2024-Q002,2024,Artes,difícil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Mandou bem! 🚀,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q060,2022,Português,médio,Qual frase está correta?,Houve problemas no teste.,Houveram problemas no teste.,Precisa-se de voluntario.,Fazem dois anos que estudei.,A,Muito bem! ✅,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q097,2022,História,difícil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2023-Q054,2023,Química,médio,O NaCl apresenta ligação:,iônica,covalente apolar,metálica,hidrogênio,A,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2022-Q056,2022,Português,fácil,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Excelente! 🧠,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q069,2022,Sociologia,difícil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Acertou em cheio! 🎯,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q046,2023,Matemática,médio,Área de triângulo: base 18 e altura 5.,45 cm²,53 cm²,41 cm²,49 cm²,A,Muito bem! ✅,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q085,2023,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Muito bem! ✅,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2023-Q043,2023,Química,difícil,O NaCl apresenta ligação:,iônica,covalente apolar,metálica,hidrogênio,A,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q079,2022,História,difícil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Mandou bem! 🚀,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q006,2023,Matemática,médio,Quanto é 952 + 530?,1495,1492,1472,1482,D,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q034,2024,Geografia,fácil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Mandou bem! 🚀,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q058,2022,Física,médio,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Acertou em cheio! 🎯,Respira e vai de novo. 😌
ENEM,ENEM2022-Q052,2022,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Show! 👏,Anota e revisa depois. 📝
ENEM,ENEM2023-Q025,2023,História,médio,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Acertou em cheio! 🎯,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q032,2024,Português,fácil,Classifique o sujeito em: ‘Os alunos e o professor saíram.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,B,Brilhou agora! 🌟,Anota e revisa depois. 📝
ENEM,ENEM2023-Q089,2023,Matemática,fácil,Quanto é 581 + 631?,1227,1222,1212,1202,C,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q054,2022,Português,médio,Classifique o sujeito em: ‘Choveu muito.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,D,Show! 👏,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q090,2023,Artes,médio,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Excelente! 🧠,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q048,2024,História,difícil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q007,2023,História,médio,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2024-Q047,2024,Matemática,médio,Resolva: 5x + 9 = 44. Valor de x:,6,8,7,9,C,Show! 👏,Respira e vai de novo. 😌
ENEM,ENEM2023-Q056,2023,Química,fácil,Principal gás do efeito estufa de fósseis:,CO₂,O₂,N₂,H₂,A,Muito bem! ✅,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q082,2022,Biologia,fácil,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Top demais! ✨,Anota e revisa depois. 📝
ENEM,ENEM2022-Q005,2022,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Você tá voando! 🛫,Respira e vai de novo. 😌
ENEM,ENEM2023-Q040,2023,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Muito bem! ✅,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q070,2022,Física,fácil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Top demais! ✨,Respira e vai de novo. 😌
ENEM,ENEM2022-Q065,2022,Artes,difícil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Você tá voando! 🛫,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q013,2022,Física,médio,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Acertou em cheio! 🎯,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q084,2024,Física,difícil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Top demais! ✨,Anota e revisa depois. 📝
ENEM,ENEM2023-Q077,2023,Matemática,médio,Quanto é 395 + 823?,1228,1208,1218,1228,C,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2023-Q020,2023,Português,médio,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Mandou bem! 🚀,Respira e vai de novo. 😌
ENEM,ENEM2024-Q044,2024,História,fácil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Brilhou agora! 🌟,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q096,2024,Geografia,difícil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Muito bem! ✅,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q031,2024,História,fácil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Show! 👏,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q053,2024,Filosofia,difícil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Top demais! ✨,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q039,2024,Sociologia,difícil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Excelente! 🧠,Ops! Passou raspando. 🪒
ENEM,ENEM2024-Q054,2024,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Top demais! ✨,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q071,2023,Filosofia,médio,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q004,2023,Geografia,médio,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q039,2023,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Você tá voando! 🛫,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q003,2022,Artes,difícil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Acertou em cheio! 🎯,Não desanima! Você consegue. 💪
ENEM,ENEM2022-Q047,2022,Química,médio,O NaCl apresenta ligação:,iônica,covalente apolar,metálica,hidrogênio,A,Top demais! ✨,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q068,2024,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Excelente! 🧠,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q055,2022,Química,fácil,Principal gás do efeito estufa de fósseis:,CO₂,O₂,N₂,H₂,A,Mandou bem! 🚀,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q098,2022,Física,fácil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Você tá voando! 🛫,Respira e vai de novo. 😌
ENEM,ENEM2023-Q001,2023,História,difícil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Excelente! 🧠,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q012,2022,Português,fácil,Escolha a frase com concordância adequada:,Existem muitas oportunidades.,Houveram problemas ontem.,Precisam-se de ajuda urgente.,Fazem cinco anos.,A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q068,2022,Português,médio,Classifique o sujeito em: ‘Fizemos a prova.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,C,Show! 👏,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q051,2024,Química,médio,Principal gás do efeito estufa de fósseis:,CO₂,O₂,N₂,H₂,A,Mandou bem! 🚀,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q001,2024,História,fácil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q011,2023,Matemática,médio,"A média de 6, 9, 9 e 10 é:",9.0,8.5,8.0,9.5,B,Muito bem! ✅,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q033,2023,Sociologia,médio,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Brilhou agora! 🌟,Respira e vai de novo. 😌
ENEM,ENEM2023-Q008,2023,Geografia,fácil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Brilhou agora! 🌟,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q072,2023,Filosofia,médio,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Mandou bem! 🚀,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q059,2023,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Você tá voando! 🛫,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q097,2023,Sociologia,difícil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Muito bem! ✅,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q072,2022,Física,difícil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Muito bem! ✅,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q044,2023,Matemática,difícil,"A média de 10, 6, 5 e 7 é:",7.0,6.5,8.0,7.5,A,Excelente! 🧠,Não desanima! Você consegue. 💪
ENEM,ENEM2024-Q079,2024,Matemática,fácil,Área de triângulo: base 28 e altura 12.,172 cm²,168 cm²,176 cm²,164 cm²,B,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q083,2023,Português,médio,"Em ‘chutar o balde’, o sentido é:",literal,metafórico/idiomático,onomatopeico,comparativo,B,Você tá voando! 🛫,Respira e vai de novo. 😌
ENEM,ENEM2022-Q077,2022,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Acertou em cheio! 🎯,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2023-Q032,2023,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Mandou bem! 🚀,Não desanima! Você consegue. 💪
ENEM,ENEM2024-Q019,2024,Física,fácil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Você tá voando! 🛫,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q069,2023,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q029,2024,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2022-Q084,2022,Matemática,difícil,Quanto é 854 + 440?,1284,1294,1308,1304,B,Show! 👏,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q016,2024,Física,médio,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Você tá voando! 🛫,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q048,2023,Artes,fácil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Muito bem! ✅,Anota e revisa depois. 📝
ENEM,ENEM2023-Q081,2023,Biologia,médio,A organela que produz ATP é:,Mitocôndria,Ribossomo,Lisossomo,Complexo Golgiense,A,Você tá voando! 🛫,Ops! Passou raspando. 🪒
ENEM,ENEM2023-Q024,2023,Português,fácil,Classifique o sujeito em: ‘Choveu muito.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,D,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2022-Q075,2022,Geografia,médio,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Mandou bem! 🚀,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q075,2024,Física,fácil,Unidade SI de força:,Newton (N),Joule (J),Watt (W),Pascal (Pa),A,Acertou em cheio! 🎯,Respira e vai de novo. 😌
ENEM,ENEM2022-Q043,2022,Geografia,fácil,O Egito fica em qual continente?,África,Ásia,Europa,Oceania,A,Mandou bem! 🚀,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2023-Q073,2023,Português,difícil,Classifique o sujeito em: ‘Os alunos e o professor saíram.’,sujeito simples,sujeito composto,sujeito oculto,sujeito indeterminado,B,Você tá voando! 🛫,Respira e vai de novo. 😌
ENEM,ENEM2024-Q052,2024,História,médio,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Top demais! ✨,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2024-Q028,2024,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Você tá voando! 🛫,Anota e revisa depois. 📝
ENEM,ENEM2023-Q017,2023,Artes,fácil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Excelente! 🧠,Não desanima! Você consegue. 💪
ENEM,ENEM2024-Q033,2024,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Excelente! 🧠,Quase! Tenta a próxima. 😉
ENEM,ENEM2023-Q010,2023,Química,médio,O NaCl apresenta ligação:,iônica,covalente apolar,metálica,hidrogênio,A,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q093,2022,História,fácil,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Brilhou agora! 🌟,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q033,2022,Português,médio,Qual frase está correta?,Houve problemas no teste.,Houveram problemas no teste.,Precisa-se de voluntario.,Fazem dois anos que estudei.,A,Brilhou agora! 🌟,Não desanima! Você consegue. 💪
ENEM,ENEM2023-Q038,2023,Artes,fácil,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Acertou em cheio! 🎯,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q061,2024,Português,fácil,Qual frase está correta?,Houve problemas no teste.,Houveram problemas no teste.,Precisa-se de voluntario.,Fazem dois anos que estudei.,A,Muito bem! ✅,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q025,2022,Sociologia,difícil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q085,2022,Matemática,difícil,"A média de 5, 5, 10 e 7 é:",7.8,6.8,7.3,6.3,B,Top demais! ✨,Quase! Tenta a próxima. 😉
ENEM,ENEM2022-Q017,2022,História,médio,Ano da Proclamação da República no Brasil:,1889,1822,1930,1964,A,Muito bem! ✅,Quase! Tenta a próxima. 😉
ENEM,ENEM2024-Q041,2024,Artes,médio,O Cubismo associa-se a:,Picasso e Braque,Monet e Van Gogh,Tarsila e Portinari,Michelangelo e Rafael,A,Você tá voando! 🛫,Respira e vai de novo. 😌
ENEM,ENEM2022-Q014,2022,Matemática,médio,Resolva: 6x + 4 = 82. Valor de x:,15,14,12,13,D,Top demais! ✨,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2024-Q043,2024,Matemática,médio,Preço 205 com 25% de desconto. Preço final:,R$ 138.39,R$ 153.75,R$ 143.50,R$ 164.00,B,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2024-Q094,2024,Filosofia,fácil,"Para Sócrates, ‘conhecer-se’ conduz à:",virtude,riqueza,prazer,poder político,A,Mandou bem! 🚀,Respira e vai de novo. 😌
ENEM,ENEM2022-Q100,2022,Física,difícil,1ª lei de Newton:,princípio da inércia,ação e reação,princípio do trabalho,conservação de carga,A,Acertou em cheio! 🎯,Vai estudar mais e volte amanhã… 😅
ENEM,ENEM2022-Q073,2022,Matemática,médio,Preço 374 com 25% de desconto. Preço final:,R$ 261.80,R$ 299.20,R$ 293.67,R$ 280.50,D,Acertou em cheio! 🎯,Respira e vai de novo. 😌
ENEM,ENEM2022-Q096,2022,Matemática,fácil,Resolva: 2x + 5 = 21. Valor de x:,10,8,9,7,B,Excelente! 🧠,Ops! Passou raspando. 🪒
ENEM,ENEM2022-Q094,2022,Sociologia,fácil,"Para Durkheim, fato social tem caráter:",coercitivo,biológico,apenas jurídico,subjetivo,A,Show! 👏,Boa tentativa! Revise esse tema. 📚
ENEM,ENEM2022-Q041,2022,Química,fácil,Uma solução ácida tem pH:,menor que 7,igual a 7,maior que 7,igual a 14,A,Brilhou agora! 🌟,Boa tentativa! Revise esse tema. 📚
